gene_id,RC1,RC2,RC3,RF1,RF2,RF3,RM1,RM2,RM3,RS1,RS2,RS3
evm.model.tig082700000020.71,12,31,31,1,0,0,30,42,35,105,53,71
evm.model.tig082700000153.283,50,86,87,0,0,0,62,96,146,21,66,31
evm.model.tig082700000180.156,52,41,40,0,0,0,45,62,31,53,23,55
evm.model.tig082700000272.32,2643,17,18,0,0,0,24,27,48,31,54,39
evm.model.tig082700000254.59,27,67,68,0,0,0,40,34,85,27,60,36
evm.model.tig082700031369.142,20,0,0,0,0,0,0,0,131,71,49,22
evm.model.tig082700000296.23,42,18,19,0,2,0,73,79,122,150,284,56
evm.model.tig082700000310.34,10,41,42,0,0,0,41,15,14,77,42,26
evm.model.tig082700000174.65,34,58,58,0,0,0,97,93,91,54,38,44
evm.model.tig082700000075.506,27,20,18,0,0,0,38,28,0,81,51,20
evm.model.tig082700000075.454,45,12,11,0,0,0,72,78,59,102,18,40
evm.model.tig082700000071.326,22,8,8,0,0,0,20,15,0,63,51,30
evm.model.tig082700000253.24,26,84,80,0,0,0,107,78,22,99,51,14
evm.model.tig082700000128.5,0,30,27,0,0,0,76,69,155,118,36,22
evm.model.tig082700000122.192,0,50,49,0,0,0,46,29,207,50,49,49
evm.model.tig082700000184.28,26,65,64,0,0,0,45,48,129,121,35,23
evm.model.tig082700000196.73,65,618,623,0,0,0,117,98,46,86,42,36
evm.model.tig082700000020.206,0,14,15,0,0,0,39,47,147,81,45,36
evm.model.tig082700000120.82,8,10,11,0,0,0,35,26,28,74,54,37
evm.model.tig082700000383.19,12,38,37,0,0,0,40,31,55,56,22,87
evm.model.tig082700000122.174,52,100,98,0,0,0,43,24,97,34,56,68
evm.model.tig082700000096.77,7,25,27,0,0,0,78,68,129,126,27,47
evm.model.tig082700000167.99,20,22,20,0,0,0,20,33,21,37,63,63
evm.model.tig082700000215.122,24,98,97,0,0,0,62,59,0,172,44,11
evm.model.tig082700000428.12,67,44,42,0,0,0,53,60,137,67,68,49
evm.model.tig082700002117.14,13,67,67,0,0,0,44,39,84,40,97,42
evm.model.tig082700000120.274,7,35,34,0,0,0,64,64,90,64,76,50
evm.model.tig082700000071.2,43,42,43,0,0,0,99,109,64,21,74,79
evm.model.tig082700000096.382,59,85,84,0,0,0,58,49,54,112,54,48
evm.model.tig082700000016.604,81,0,0,0,0,0,91,97,250,96,49,64
evm.model.tig082700000296.14,33,31,31,0,0,0,47,55,29,85,30,91
evm.model.tig082700000071.393,35,33,34,0,0,0,64,61,207,99,36,81
evm.model.tig082700000228.60,0,9,10,0,0,0,36,23,96,185,65,14
evm.model.tig082700000116.6,32,12,12,0,0,0,0,63,190,38,62,102
evm.model.tig082700000096.7,40,5,0,0,0,0,97,98,125,137,61,47
evm.model.tig082700000174.140,59,0,0,0,0,0,57,45,117,89,42,98
evm.model.tig082700000385.22,3,27,28,0,0,0,45,35,0,153,82,25
evm.model.tig082700000127.195,34,37,34,0,0,0,39,68,147,82,114,59
evm.model.tig082700000208.76,13,46,44,0,0,0,104,97,94,45,71,122
evm.model.tig082700000210.5,52,221,222,0,0,0,114,117,265,97,111,55
evm.model.tig082700000221.102,115,64,65,3,4,0,73,61,153,130,1941,181
evm.model.tig082700000172.193,0,82,82,0,0,0,125,103,16,122,90,76
evm.model.tig082700000180.11,21,108,107,0,0,0,57,56,0,165,144,23
evm.model.tig082700000075.587,58,108,106,0,0,0,31,33,71,105,89,109
evm.model.tig082700000132.16,83,57,54,0,0,0,82,59,157,184,104,77
evm.model.tig082700000071.245,11,96,94,0,0,0,139,153,411,114,129,141
