ko,gene
ko01120,evm.model.tig082700000163.157
ko01100,evm.model.tig082700000163.157
ko00071,evm.model.tig082700000163.157
ko00330,evm.model.tig082700000163.157
ko00280,evm.model.tig082700000290.31
ko01110,evm.model.tig082700000290.31
ko00410,evm.model.tig082700000290.31
ko00010,evm.model.tig082700000290.31
ko01240,evm.model.tig082700000290.31
ko00310,evm.model.tig082700000290.31
ko00340,evm.model.tig082700000290.31
ko00561,evm.model.tig082700000290.31
ko00625,evm.model.tig082700000290.31
ko00620,evm.model.tig082700000290.31
ko04936,evm.model.tig082700000290.31
ko00770,evm.model.tig082700000290.31
ko00903,evm.model.tig082700000290.31
ko00981,evm.model.tig082700000290.31
ko00380,evm.model.tig082700000290.31
ko00053,evm.model.tig082700000290.31
ko01120,evm.model.tig082700000290.31
ko01100,evm.model.tig082700000290.31
ko00071,evm.model.tig082700000290.31
ko00330,evm.model.tig082700000290.31
ko00280,evm.model.tig082700000206.108
ko01110,evm.model.tig082700000206.108
ko00410,evm.model.tig082700000206.108
ko00010,evm.model.tig082700000206.108
ko01240,evm.model.tig082700000206.108
ko00310,evm.model.tig082700000206.108
ko00340,evm.model.tig082700000206.108
ko00561,evm.model.tig082700000206.108
ko00625,evm.model.tig082700000206.108
ko00620,evm.model.tig082700000206.108
ko04936,evm.model.tig082700000206.108
ko00770,evm.model.tig082700000206.108
ko00903,evm.model.tig082700000206.108
ko00981,evm.model.tig082700000206.108
ko00380,evm.model.tig082700000206.108
ko00053,evm.model.tig082700000206.108
ko01120,evm.model.tig082700000206.108
ko01100,evm.model.tig082700000206.108
ko00071,evm.model.tig082700000206.108
ko00330,evm.model.tig082700000206.108
ko00280,evm.model.tig082700031384.9
ko01110,evm.model.tig082700031384.9
ko00410,evm.model.tig082700031384.9
ko00010,evm.model.tig082700031384.9
ko01240,evm.model.tig082700031384.9
ko00310,evm.model.tig082700031384.9
ko00340,evm.model.tig082700031384.9
ko00561,evm.model.tig082700031384.9
ko00625,evm.model.tig082700031384.9
ko00620,evm.model.tig082700031384.9
ko04936,evm.model.tig082700031384.9
ko00770,evm.model.tig082700031384.9
ko00903,evm.model.tig082700031384.9
ko00981,evm.model.tig082700031384.9
ko00380,evm.model.tig082700031384.9
ko00053,evm.model.tig082700031384.9
ko01120,evm.model.tig082700031384.9
ko01100,evm.model.tig082700031384.9
ko00071,evm.model.tig082700031384.9
ko00330,evm.model.tig082700031384.9
ko01110,evm.model.tig082700000223.64
ko05130,evm.model.tig082700000223.64
ko05132,evm.model.tig082700000223.64
ko00010,evm.model.tig082700000223.64
ko05415,evm.model.tig082700000223.64
ko01230,evm.model.tig082700000223.64
ko01200,evm.model.tig082700000223.64
ko01120,evm.model.tig082700000223.64
ko05010,evm.model.tig082700000223.64
ko01100,evm.model.tig082700000223.64
ko04066,evm.model.tig082700000223.64
ko00710,evm.model.tig082700000223.64
ko00760,evm.model.tig082700000287.49
ko00310,evm.model.tig082700000287.49
ko00250,evm.model.tig082700000287.49
ko00350,evm.model.tig082700000287.49
ko01100,evm.model.tig082700000287.49
ko00650,evm.model.tig082700000287.49
ko01120,evm.model.tig082700000287.49
ko00760,evm.model.tig082700000296.34
ko00310,evm.model.tig082700000296.34
ko00250,evm.model.tig082700000296.34
ko00350,evm.model.tig082700000296.34
ko01100,evm.model.tig082700000296.34
ko00650,evm.model.tig082700000296.34
ko01120,evm.model.tig082700000296.34
ko00640,evm.model.tig082700000334.68
ko01200,evm.model.tig082700000334.68
ko00562,evm.model.tig082700000334.68
ko00280,evm.model.tig082700000334.68
ko01100,evm.model.tig082700000334.68
ko00410,evm.model.tig082700000334.68
ko01100,evm.model.tig082700000328.68
ko01230,evm.model.tig082700000328.68
ko01110,evm.model.tig082700000328.68
ko00300,evm.model.tig082700000328.68
ko00620,evm.model.tig082700000215.26
ko01110,evm.model.tig082700000215.26
ko05415,evm.model.tig082700000215.26
ko05230,evm.model.tig082700000215.26
ko01200,evm.model.tig082700000215.26
ko01120,evm.model.tig082700000215.26
ko00020,evm.model.tig082700000215.26
ko04922,evm.model.tig082700000215.26
ko04066,evm.model.tig082700000215.26
ko00010,evm.model.tig082700000215.26
ko01100,evm.model.tig082700000215.26
ko01100,evm.model.tig082700000096.186
ko04922,evm.model.tig082700000096.186
ko05230,evm.model.tig082700000096.186
ko00020,evm.model.tig082700000096.186
ko04066,evm.model.tig082700000096.186
ko05415,evm.model.tig082700000096.186
ko00010,evm.model.tig082700000096.186
ko00620,evm.model.tig082700000096.186
ko01200,evm.model.tig082700000096.186
ko01110,evm.model.tig082700000096.186
ko01120,evm.model.tig082700000096.186
ko01120,evm.model.tig082700000320.51
ko01110,evm.model.tig082700000320.51
ko01200,evm.model.tig082700000320.51
ko00020,evm.model.tig082700000320.51
ko01100,evm.model.tig082700000320.51
ko01110,evm.model.tig082700000125.3
ko01100,evm.model.tig082700000125.3
ko00280,evm.model.tig082700000125.3
ko00640,evm.model.tig082700000125.3
ko01100,evm.model.tig082700000258.80
ko01110,evm.model.tig082700000258.80
ko00640,evm.model.tig082700000258.80
ko00280,evm.model.tig082700000258.80
ko04310,evm.model.tig082700000225.3
ko01100,evm.model.tig082700000156.16
ko01240,evm.model.tig082700000156.16
ko00053,evm.model.tig082700000156.16
ko01110,evm.model.tig082700000156.16
ko01240,evm.model.tig082700000254.69
ko01100,evm.model.tig082700000254.69
ko00240,evm.model.tig082700000254.69
ko01100,evm.model.tig082700000113.147
ko01240,evm.model.tig082700000113.147
ko01110,evm.model.tig082700000113.147
ko00860,evm.model.tig082700000113.147
ko01100,evm.model.tig082700000120.261
ko01110,evm.model.tig082700000120.261
ko00860,evm.model.tig082700000120.261
ko01240,evm.model.tig082700000120.261
ko00410,evm.model.tig082700031372.100
ko00592,evm.model.tig082700031372.100
ko01110,evm.model.tig082700031372.100
ko01212,evm.model.tig082700031372.100
ko04936,evm.model.tig082700031372.100
ko04024,evm.model.tig082700031372.100
ko04146,evm.model.tig082700031372.100
ko00071,evm.model.tig082700031372.100
ko01040,evm.model.tig082700031372.100
ko01200,evm.model.tig082700031372.100
ko03320,evm.model.tig082700031372.100
ko01100,evm.model.tig082700031372.100
ko00640,evm.model.tig082700031372.100
ko05016,evm.model.tig082700000160.29
ko05415,evm.model.tig082700000160.29
ko04932,evm.model.tig082700000160.29
ko01120,evm.model.tig082700000160.29
ko01110,evm.model.tig082700000160.29
ko00020,evm.model.tig082700000160.29
ko05012,evm.model.tig082700000160.29
ko01200,evm.model.tig082700000160.29
ko05022,evm.model.tig082700000160.29
ko05010,evm.model.tig082700000160.29
ko01100,evm.model.tig082700000160.29
ko00190,evm.model.tig082700000160.29
ko04714,evm.model.tig082700000160.29
ko05208,evm.model.tig082700000160.29
ko05014,evm.model.tig082700000160.29
ko05020,evm.model.tig082700000160.29
ko05016,evm.model.tig082700000106.247
ko05415,evm.model.tig082700000106.247
ko04932,evm.model.tig082700000106.247
ko01120,evm.model.tig082700000106.247
ko01110,evm.model.tig082700000106.247
ko00020,evm.model.tig082700000106.247
ko05012,evm.model.tig082700000106.247
ko01200,evm.model.tig082700000106.247
ko05022,evm.model.tig082700000106.247
ko05010,evm.model.tig082700000106.247
ko01100,evm.model.tig082700000106.247
ko00190,evm.model.tig082700000106.247
ko04714,evm.model.tig082700000106.247
ko05208,evm.model.tig082700000106.247
ko05014,evm.model.tig082700000106.247
ko05020,evm.model.tig082700000106.247
ko05016,evm.model.tig082700002117.380
ko05415,evm.model.tig082700002117.380
ko04932,evm.model.tig082700002117.380
ko01120,evm.model.tig082700002117.380
ko01110,evm.model.tig082700002117.380
ko00020,evm.model.tig082700002117.380
ko05012,evm.model.tig082700002117.380
ko01200,evm.model.tig082700002117.380
ko05022,evm.model.tig082700002117.380
ko05010,evm.model.tig082700002117.380
ko01100,evm.model.tig082700002117.380
ko00190,evm.model.tig082700002117.380
ko04714,evm.model.tig082700002117.380
ko05208,evm.model.tig082700002117.380
ko05014,evm.model.tig082700002117.380
ko05020,evm.model.tig082700002117.380
ko01100,evm.model.tig082700031386.6
ko05014,evm.model.tig082700031386.6
ko05022,evm.model.tig082700031386.6
ko01110,evm.model.tig082700031386.6
ko04932,evm.model.tig082700031386.6
ko05010,evm.model.tig082700031386.6
ko00020,evm.model.tig082700031386.6
ko01200,evm.model.tig082700031386.6
ko05208,evm.model.tig082700031386.6
ko01120,evm.model.tig082700031386.6
ko00190,evm.model.tig082700031386.6
ko05012,evm.model.tig082700031386.6
ko04714,evm.model.tig082700031386.6
ko05016,evm.model.tig082700031386.6
ko05415,evm.model.tig082700031386.6
ko05020,evm.model.tig082700031386.6
ko01100,evm.model.tig082700031386.7
ko05014,evm.model.tig082700031386.7
ko05022,evm.model.tig082700031386.7
ko01110,evm.model.tig082700031386.7
ko04932,evm.model.tig082700031386.7
ko05010,evm.model.tig082700031386.7
ko00020,evm.model.tig082700031386.7
ko01200,evm.model.tig082700031386.7
ko05208,evm.model.tig082700031386.7
ko01120,evm.model.tig082700031386.7
ko00190,evm.model.tig082700031386.7
