"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","RF1","RF2","RF3","RC1","RC2","RC3"
"13446","evm.model.tig082700000111.391",102.4695,-0.4905773,1.377651,-0.3560969,0.721768,0.9566641,173.3545,81.08517,0,141.4443,106.3049,112.628
"13447","evm.model.tig082700000127.217",113.1782,0.3778271,1.061328,0.3559946,0.7218446,0.9566641,89.12573,15.08561,281.0763,62.23547,115.3138,116.2321
"13448","evm.model.tig082700000139.184",215.3371,-0.1818716,0.5105072,-0.3562567,0.7216483,0.9566641,119.8137,247.0269,240.4764,185.5749,246.8437,252.2868
"13449","evm.model.tig082700000151.256",231.5987,0.2719307,0.7631234,0.3563391,0.7215866,0.9566641,354.5441,331.8835,71.83062,140.3127,245.0419,245.9796
"13450","evm.model.tig082700000187.154",64.04828,-0.3931006,1.10276,-0.3564699,0.7214887,0.9566641,60.72303,6.599955,99.93825,26.02574,96.39516,94.60756
"13451","evm.model.tig082700000357.44",233.4602,-0.3209274,0.9014507,-0.3560122,0.7218314,0.9566641,204.3689,363.9404,53.0922,101.8399,338.7344,338.7852
"13452","evm.model.tig082700002115.84",92.65583,-0.4848457,1.361579,-0.3560907,0.7217726,0.9566641,147.5635,82.97087,0,80.34033,122.521,122.5393
"13453","evm.model.tig082700000016.174",85.09818,0.5680345,1.616124,0.3514795,0.7252286,0.9568548,80.63757,0,224.8611,73.55101,67.5667,63.97273
"13454","evm.model.tig082700000016.373",83.37199,-0.2990457,0.8442718,-0.3542055,0.7231849,0.9568548,88.79927,48.08539,87.44597,186.7064,43.24269,45.95224
"13455","evm.model.tig082700000016.327",80.56815,-0.3043465,0.8593749,-0.3541488,0.7232274,0.9568548,42.44083,23.57127,153.0304,81.47189,90.08894,92.80551
"13456","evm.model.tig082700000020.51",99.61386,0.3337073,0.947669,0.3521348,0.7247371,0.9568548,91.08454,18.85702,224.8611,100.7083,81.08005,81.09219
"13457","evm.model.tig082700000020.344",246.2033,-0.2859507,0.8131646,-0.3516517,0.7250995,0.9568548,374.7851,83.91372,206.1226,467.3318,172.9708,172.0957
"13458","evm.model.tig082700000020.473",143.2445,0.5203404,1.474989,0.3527759,0.7242565,0.9568548,163.5604,342.2548,0,148.2336,103.6023,101.8158
"13459","evm.model.tig082700000067.287",139.3421,0.2814789,0.7976529,0.3528839,0.7241755,0.9568548,171.3956,38.65688,249.8456,143.7074,114.413,118.0342
"13460","evm.model.tig082700000067.317",264.6259,-0.5445652,1.549533,-0.3514383,0.7252596,0.9568548,164.2133,480.8539,0,536.3566,202.7001,203.6315
"13461","evm.model.tig082700000067.429",50.57923,0.5472412,1.53957,0.3554506,0.722252,0.9568548,42.11436,137.6562,0,10.18399,54.95425,58.56658
"13462","evm.model.tig082700000071.14",84.56656,0.3529126,0.9944196,0.3548931,0.7226697,0.9568548,27.4233,213.0843,43.72299,38.47284,93.6925,91.00346
"13463","evm.model.tig082700000071.302",46.14378,-0.5785755,1.641649,-0.3524355,0.7245117,0.9568548,49.94959,48.08539,12.49228,69.02479,0,97.31063
"13464","evm.model.tig082700000075.55",121.3504,-0.6102914,1.730669,-0.3526333,0.7243634,0.9568548,256.2773,0,31.2307,53.18304,193.6912,193.7202
"13465","evm.model.tig082700000075.170",126.0239,-0.4962366,1.405046,-0.3531818,0.7239522,0.9568548,214.4894,98.05648,0,116.5501,163.061,163.9864
"13466","evm.model.tig082700000096.68",181.7621,-0.5245041,1.481014,-0.354152,0.723225,0.9568548,180.5367,265.8839,0,88.26121,276.573,279.3176
"13467","evm.model.tig082700000106.315",38.65435,0.3861104,1.087465,0.3550555,0.722548,0.9568548,105.4491,12.25706,12.49228,30.55196,35.13469,36.04097
"13468","evm.model.tig082700000113.88",117.8022,0.1901797,0.5381606,0.3533884,0.7237973,0.9568548,105.1227,180.0845,90.56904,81.47189,123.4218,126.1434
"13469","evm.model.tig082700000113.162",346.0948,-0.1450887,0.4088628,-0.3548592,0.722695,0.9568548,427.6729,302.6551,252.9687,324.756,383.7789,384.7374
"13470","evm.model.tig082700000116.18",118.5761,0.4698355,1.330556,0.3531121,0.7240044,0.9568548,110.3461,3.771403,299.8148,186.7064,55.85514,54.96249
"13471","evm.model.tig082700000127.20",62.90086,-0.3167764,0.8984641,-0.3525755,0.7244067,0.9568548,118.8343,25.45697,21.86149,90.52432,61.26048,59.46761
"13472","evm.model.tig082700000127.66",131.9274,0.314264,0.8938326,0.3515915,0.7251446,0.9568548,112.9579,271.541,53.0922,216.1268,68.46759,69.37888
"13473","evm.model.tig082700000127.85",824.1288,0.1760099,0.499197,0.352586,0.7243989,0.9568548,1331.663,701.481,587.1372,813.5873,755.8462,755.0584
"13474","evm.model.tig082700000128.251",18469.86,0.6774608,1.908797,0.3549152,0.7226531,0.9568548,1156.676,24214.29,42814.17,42348.41,142.3405,143.2629
"13475","evm.model.tig082700000132.15",334.2159,0.2084237,0.5904229,0.3530076,0.7240828,0.9568548,422.123,271.541,381.0146,508.0677,210.8081,211.7407
"13476","evm.model.tig082700000132.196",194.9765,-0.3777283,1.069884,-0.3530554,0.7240469,0.9568548,358.1353,21.68557,128.0459,383.5968,138.737,139.6588
"13477","evm.model.tig082700000132.198",225.5021,0.2921593,0.8255256,0.353907,0.7234086,0.9568548,265.4184,396.9402,81.19983,85.9981,261.2579,262.1981
"13478","evm.model.tig082700000149.24",208.6315,0.2223221,0.630242,0.3527566,0.7242709,0.9568548,249.095,329.0549,93.69211,228.5739,175.6734,175.6997
"13479","evm.model.tig082700000149.81",203.0105,0.2627133,0.7397877,0.3551199,0.7224998,0.9568548,101.205,338.4834,224.8611,306.6511,122.521,124.3414
"13480","evm.model.tig082700000149.203",69.21417,0.4999272,1.422456,0.3514535,0.7252482,0.9568548,60.72303,181.9702,0,59.97236,57.65692,54.96249
"13481","evm.model.tig082700000151.235",248.9801,0.2384624,0.6750176,0.3532684,0.7238872,0.9568548,302.6357,410.1401,93.69211,234.2317,227.0241,226.1571
"13482","evm.model.tig082700000153.115",118.9956,0.4698945,1.330762,0.3531019,0.724012,0.9568548,234.7304,1.885702,178.015,142.5758,78.37738,78.38912
"13483","evm.model.tig082700000156.228",1305.807,-0.1249091,0.354159,-0.3526921,0.7243193,0.9568548,1546.478,1038.079,1161.782,1228.868,1428.811,1430.827
"13484","evm.model.tig082700000169.42",98.59242,-0.4984193,1.40558,-0.3546003,0.722889,0.9568548,71.82294,172.5417,0,67.89324,139.6379,139.6588
"13485","evm.model.tig082700000169.94",741.3159,-0.1400814,0.3938602,-0.3556629,0.7220931,0.9568548,716.597,810.8517,587.1372,582.7503,875.6645,874.8946
"13486","evm.model.tig082700000172.225",25.36551,-0.4778957,1.346085,-0.3550264,0.7225698,0.9568548,40.80849,21.68557,0,11.31554,37.83735,40.5461
"13487","evm.model.tig082700000174.144",118.7401,0.5342924,1.516618,0.3522919,0.7246193,0.9568548,184.1279,236.6555,0,184.4433,54.05336,53.16044
"13488","evm.model.tig082700000174.201",154.991,0.2907172,0.8186451,0.35512,0.7224997,0.9568548,155.3987,301.7122,53.0922,216.1268,102.7014,100.9147
"13489","evm.model.tig082700000175.64",235.4059,0.2527006,0.7111949,0.3553184,0.7223511,0.9568548,464.2373,105.5993,196.7534,255.7312,197.2948,192.8192
"13490","evm.model.tig082700000185.127",119.149,-0.2878798,0.8191565,-0.3514345,0.7252624,0.9568548,166.8251,66.9424,87.44597,39.60439,177.4752,176.6008
"13491","evm.model.tig082700000187.44",31.63013,-0.5307169,1.497005,-0.3545192,0.7229498,0.9568548,69.86413,6.599955,0,52.05148,29.72935,31.53585
"13492","evm.model.tig082700000187.122",190.9982,-0.1458579,0.4148396,-0.3516008,0.7251377,0.9568548,132.2195,222.5128,190.5073,198.022,200.8983,201.8295
"13493","evm.model.tig082700000192.16",73.53785,-0.2712353,0.7673602,-0.3534655,0.7237395,0.9568548,84.55518,22.62842,93.69211,52.05148,94.59339,93.70653
