gene_id,RC1,RC2,RC3,RF1,RF2,RF3,RM1,RM2,RM3,RS1,RS2,RS3
evm.model.tig082700000172.131,495,161,158,446,4080,4320,159,133,434,202,221,259
evm.model.tig082700000387.8,58,66,63,209,419,1635,85,77,337,128,64,53
evm.model.tig082700000125.19,12,50,51,331,2137,1898,60,98,284,169,103,76
evm.model.tig082700000433.41,996,358,350,397,3797,722,202,202,27,227,33,41
evm.model.tig082700000393.9,82,264,262,711,1228,6077,274,301,640,462,151,278
evm.model.tig082700000283.64,11600,1105,1110,116,16136,8581,135,118,189,312,1255,69
evm.model.tig082700000020.227,206,99,93,340,6749,2759,177,152,390,180,230,198
evm.model.tig082700000167.90,134,138,142,126,936,3672,196,184,348,267,70,212
evm.model.tig082700000106.66,3791,204,199,215,5347,1712,158,120,716,204,128,126
evm.model.tig082700000136.188,557,54,52,110,696,3603,143,155,598,229,109,184
evm.model.tig082700000116.199,277,76,78,123,1113,3316,76,74,120,72,130,235
evm.model.tig082700000279.44,197,251,249,558,1571,5015,135,165,351,516,193,148
evm.model.tig082700000071.69,2205,146,149,409,896,2051,174,185,464,176,116,58
evm.model.tig082700000020.624,105,130,134,307,6032,1616,187,172,217,201,171,118
evm.model.tig082700000328.18,113,122,122,5377,13210,1096,271,307,448,316,189,292
evm.model.tig082700000342.41,1754,26,29,196,179,660,41,48,163,62,36,15
evm.model.tig082700000149.62,2063,28,32,110,1098,803,56,55,173,76,39,52
evm.model.tig082700002117.551,640,566,567,3578,15087,17247,1467,1359,1555,1297,778,1089
evm.model.tig082700000219.25,62,74,76,168,917,1088,111,105,70,134,60,27
evm.model.tig082700000208.41,33775,222,220,859,9501,3267,1215,1154,98,127,572,105
evm.model.tig082700000180.36,99,174,172,7649,1354,3297,227,241,456,284,228,148
evm.model.tig082700000287.11,340,98,99,660,508,2072,69,118,134,120,90,114
evm.model.tig082700000433.50,7951,2731,2856,2166,20168,6839,1329,1350,582,1658,380,250
evm.model.tig082700000160.176,53,55,55,381,2268,1216,139,97,177,139,43,109
evm.model.tig082700000433.54,2480,1772,1775,527,5541,4410,427,404,519,515,368,81
evm.model.tig082700000016.654,321,190,192,736,14595,3459,253,260,687,395,348,388
evm.model.tig082700000113.167,5531,131,132,1213,11016,6751,221,193,278,358,200,821
evm.model.tig082700000287.69,3326,132,130,817,2926,6564,384,391,855,450,359,318
evm.model.tig082700000433.46,1224,616,611,282,2699,1355,214,216,145,247,91,44
evm.model.tig082700000259.38,127,89,85,589,2845,5853,365,339,1115,473,333,248
evm.model.tig082700000169.9,99,177,175,460,837,4492,315,251,309,510,193,136
evm.model.tig082700000167.184,44,53,53,268,1878,1438,90,87,441,140,112,72
evm.model.tig082700000111.292,570,21,23,55,294,625,37,24,49,37,35,37
evm.model.tig082700000365.34,77,145,148,478,1694,1339,132,118,83,111,62,120
evm.model.tig082700000426.5,1027,54,53,76,260,980,73,57,166,48,54,57
evm.model.tig082700000184.65,505,262,262,459,1632,2501,179,148,498,113,156,176
evm.model.tig082700000132.333,245,139,139,311,4744,1848,98,101,182,182,273,64
evm.model.tig082700000016.906,1197,224,226,992,6991,2987,189,227,506,635,196,132
evm.model.tig082700000132.57,140,46,44,74,274,718,41,45,51,79,36,26
evm.model.tig082700000067.295,100,225,225,721,1235,4167,238,185,326,436,151,212
evm.model.tig082700000225.15,3643,56,57,93,261,997,105,116,251,123,24,51
evm.model.tig082700000127.97,208,69,69,2676,135,1670,100,112,251,173,91,79
evm.model.tig082700000446.12,265,460,463,1692,5970,7538,594,562,1514,719,442,448
evm.model.tig082700000253.17,24743,413,408,6079,9905,12401,5220,5416,324,495,1869,83
evm.model.tig082700002117.359,82,200,196,416,1617,3290,203,197,328,334,142,195
evm.model.tig082700000215.105,22,32,32,239,1490,2185,169,134,413,180,85,182
evm.model.tig082700000106.167,108,75,75,152,798,1807,101,64,416,247,78,75
evm.model.tig082700000127.112,1290,320,320,615,1676,4135,328,367,481,621,211,121
evm.model.tig082700000075.324,81,74,75,31,1339,501,55,81,235,121,36,28
evm.model.tig082700000253.65,6040,762,756,2144,6141,17182,660,624,2313,1724,1383,496
evm.model.tig082700000122.333,6397,17,16,288,817,1120,101,97,137,137,54,74
evm.model.tig082700000122.13,2570,87,87,1143,894,676,26,47,164,151,35,37
evm.model.tig082700000426.10,15860,975,977,371,6033,3144,675,763,253,56,642,89
evm.model.tig082700000140.131,27,173,172,327,1069,2099,178,190,678,236,140,98
evm.model.tig082700031375.65,2178,57,60,291,2577,2426,139,129,561,226,161,204
evm.model.tig082700000113.194,3757,211,213,1148,18723,3673,492,495,887,773,700,316
evm.model.tig082700000122.83,2200,201,198,138,506,2126,224,182,373,247,105,106
evm.model.tig082700000178.225,329,62,63,960,2312,652,105,92,246,121,63,91
evm.model.tig082700000122.44,1028,35,32,117,305,192,38,48,149,18,31,5
evm.model.tig082700000111.348,152,20,19,52,1411,468,51,73,137,96,29,55
evm.model.tig082700000075.28,167,293,294,1667,12732,2346,452,508,1288,562,269,398
evm.model.tig082700000075.34,2671,125,125,665,7214,1297,1176,1254,533,277,216,179
evm.model.tig082700000160.31,143,188,189,612,4677,5004,312,263,693,732,361,235
evm.model.tig082700000122.341,58,235,235,528,1836,3298,247,245,252,439,132,230
evm.model.tig082700000016.37,212,117,116,321,1756,4598,314,312,759,421,227,345
evm.model.tig082700000096.148,50,86,87,122,842,2159,174,129,336,317,128,83
evm.model.tig082700000178.137,285,154,159,321,4323,2246,213,213,493,332,166,223
evm.model.tig082700031372.31,8390,115,111,4853,6090,4174,1854,1867,245,68,976,63
evm.model.tig082700000122.178,398,372,372,2009,9053,9869,595,559,1143,1018,1054,465
evm.model.tig082700000139.207,257,421,422,804,5799,4745,321,293,901,823,341,267
evm.model.tig082700000433.2,1417,2143,2124,251,1495,3009,166,157,517,293,384,30
evm.model.tig082700000353.24,22252,152,151,1255,2482,3983,55,46,94,121,640,113
evm.model.tig082700000187.165,127,49,51,53,891,438,76,66,51,94,31,34
evm.model.tig082700000132.75,182,44,45,4630,479,85,60,74,57,58,49,38
evm.model.tig082700000016.887,60,58,59,38,620,1117,77,70,222,109,65,91
evm.model.tig082700000206.113,392,175,178,45,7603,1392,203,240,500,365,247,167
evm.model.tig082700002117.654,671,107,108,771,1283,3384,275,339,244,302,145,331
evm.model.tig082700000167.150,156,74,73,231,3745,269,113,111,169,197,50,79
evm.model.tig082700000153.114,199,121,122,661,9124,1638,308,294,593,455,335,169
evm.model.tig082700000353.42,464,411,413,620,1022,5633,364,434,917,625,321,354
evm.model.tig082700000318.10,1161,85,84,6531,16608,2175,1339,1329,157,511,966,126
evm.model.tig082700000433.7,1534,1905,1905,275,1600,2977,177,171,542,317,399,33
evm.model.tig082700000433.32,1902,1340,1362,273,1579,2656,176,168,440,316,345,33
evm.model.tig082700000444.14,8118,51,48,89,2853,81,48,68,208,49,73,67
evm.model.tig082700000433.27,1646,2551,2553,279,1699,2976,192,181,518,325,409,34
evm.model.tig082700000616.9,288,532,531,1342,3562,8582,471,435,630,663,546,799
evm.model.tig082700000106.385,10795,67,68,697,2199,759,394,405,103,64,174,57
evm.model.tig082700000153.92,93,49,50,245,2292,1358,237,268,249,255,119,104
evm.model.tig082700000151.240,103,115,113,1047,1571,2580,225,265,928,331,158,214
evm.model.tig082700000215.85,1891,139,138,884,7709,4720,1067,1048,38,155,1150,60
evm.model.tig082700000195.84,942,95,90,254,554,1610,144,183,458,193,89,123
evm.model.tig082700000139.231,459,149,151,2559,1632,3076,174,152,211,313,304,213
evm.model.tig082700000310.32,350,329,333,687,1993,3814,239,247,761,479,257,281
evm.model.tig082700000322.59,638,85,84,606,1212,2231,206,162,516,160,279,117
evm.model.tig082700000227.46,432,308,309,471,5273,2672,338,341,449,376,237,337
evm.model.tig082700000287.41,168,200,200,207,4835,1316,331,266,766,338,152,170
evm.model.tig082700000174.231,772,319,320,452,1833,3902,296,342,206,453,227,359
evm.model.tig082700000340.16,71,44,44,4597,11931,962,1196,1183,343,663,354,223
evm.model.tig082700000259.119,797,157,158,1233,9432,985,319,341,857,297,341,240
evm.model.tig082700000096.169,109,163,164,290,6228,740,120,136,267,302,232,106
evm.model.tig082700000020.176,189,164,162,756,56,1282,119,93,386,109,67,135
evm.model.tig082700000433.36,18063,5043,4949,3057,24402,7135,2138,2286,623,3445,454,491
evm.model.tig082700000387.17,90,178,177,116,679,2194,164,166,301,314,156,138
evm.model.tig082700000178.22,109,31,31,103,220,222,35,41,23,18,32,17
evm.model.tig082700000139.132,119,133,133,545,930,1051,178,134,149,231,95,53
evm.model.tig082700000227.7,1,0,0,205,1111,134,40,14,156,45,50,27
evm.model.tig082700000172.118,64,26,26,342,2091,1037,182,154,355,188,159,90
evm.model.tig082700031369.22,198,161,162,635,608,3122,270,242,503,391,266,223
evm.model.tig082700000106.213,514,144,139,235,510,2182,190,195,682,396,183,93
evm.model.tig082700031374.52,93,109,108,239,648,875,54,54,184,120,101,65
evm.model.tig082700000169.5,383,85,84,308,811,1745,161,187,285,349,128,106
evm.model.tig082700000140.246,675,162,161,269,2316,1799,247,223,446,137,172,289
evm.model.tig082700002115.34,165,137,138,643,608,2253,213,193,393,250,209,192
evm.model.tig082700031385.8,142,143,143,523,8350,610,288,312,268,393,243,235
evm.model.tig082700000122.131,2250,513,516,1168,8582,2904,574,521,1933,1060,293,338
evm.model.tig082700000155.34,207,180,180,426,4766,726,217,205,208,230,167,190
evm.model.tig082700000208.26,76,187,187,267,384,1526,163,184,304,269,103,116
evm.model.tig082700000246.27,212,230,233,6612,1079,477,110,149,234,158,100,146
evm.model.tig082700000400.23,79,69,70,764,1963,462,117,100,228,104,81,115
evm.model.tig082700000075.53,148,249,251,300,1214,1961,120,97,210,252,314,82
evm.model.tig082700000106.274,239,189,188,1609,193,2339,324,333,445,304,218,198
evm.model.tig082700000223.64,307,30,29,335,1836,1101,236,196,401,329,127,76
evm.model.tig082700000016.67,71,41,41,757,1991,1689,204,179,373,424,218,94
evm.model.tig082700000448.4,2070,162,163,7159,2128,2276,299,292,438,468,303,312
evm.model.tig082700000016.703,225,156,151,114,698,514,82,94,250,117,69,42
evm.model.tig082700000106.331,310,262,256,746,1297,1885,356,331,366,333,188,189
evm.model.tig082700000071.224,234,149,149,288,5212,2374,434,451,884,661,367,242
evm.model.tig082700000178.158,866,857,859,3930,30194,12067,1240,1200,2970,2404,3295,761
evm.model.tig082700000153.242,51,15,15,116,282,34,40,50,153,24,11,8
evm.model.tig082700000289.50,1550,300,295,715,2463,1217,169,189,297,185,293,121
evm.model.tig082700000136.213,4488,200,200,327,322,1638,209,230,404,236,173,142
evm.model.tig082700000116.234,237,359,361,845,1476,4329,519,453,993,771,358,440
evm.model.tig082700000227.118,212,291,295,1232,10303,1880,430,455,865,717,424,477
evm.model.tig082700000228.20,146,34,33,150,200,537,115,145,75,95,75,31
evm.model.tig082700000071.49,400,66,65,568,4958,2282,323,408,644,607,298,358
evm.model.tig082700000156.39,8989,125,124,6640,11596,2352,1573,1427,189,1707,651,102
evm.model.tig082700000067.82,77,31,29,297,376,1057,178,132,330,224,89,97
evm.model.tig082700002117.563,216,29,27,134,1038,505,15,40,42,128,124,25
evm.model.tig082700000192.128,1034,157,160,1100,4347,2432,436,539,238,644,246,403
evm.model.tig082700000111.353,303,69,69,505,635,209,47,44,38,59,36,50
evm.model.tig082700000180.178,1126,641,643,1906,2757,6915,780,872,747,1303,645,716
evm.model.tig082700000160.19,1519,228,223,2503,3226,1980,477,445,722,510,305,267
evm.model.tig082700000407.2,118,331,332,540,3636,1419,318,315,645,394,143,323
evm.model.tig082700000178.14,42,9,9,226,572,840,150,203,419,170,112,72
evm.model.tig082700000318.31,1601,148,149,337,999,918,149,170,355,213,142,78
evm.model.tig082700000251.20,245,118,120,875,3137,2225,144,148,647,264,622,144
evm.model.tig082700000383.33,2283,195,199,290,1793,743,144,157,212,208,147,106
evm.model.tig082700000096.181,131,211,210,440,3059,1507,299,300,1032,296,255,284
evm.model.tig082700000174.165,188,97,94,1061,1148,1947,216,263,655,456,164,261
evm.model.tig082700000169.34,215,271,267,811,7682,878,370,456,938,460,285,403
evm.model.tig082700000106.438,102,153,152,342,1932,837,132,121,222,181,156,164
evm.model.tig082700000279.59,2701,22,25,89,397,603,76,66,97,132,63,76
evm.model.tig082700000071.473,137,377,379,722,1176,3041,425,411,592,556,349,355
evm.model.tig082700000169.21,1532,664,663,1647,8141,2116,672,702,1941,642,302,732
evm.model.tig082700000212.115,26,57,56,218,740,357,77,91,151,115,59,59
evm.model.tig082700002120.146,2772,93,93,153,1351,40,80,73,66,128,30,39
evm.model.tig082700000287.19,244,356,355,5649,2716,4898,634,588,1181,595,1177,470
